110,Rocio,Calvo,124434,rociocalvo@mail.com,Mozo,2021-05-08,,
111,Marcos,Acuña,1234,MarcosAcuña@mail.com,Cervezero,2021-05-10,,
112,Lautaro,Martinez,123456,LautaroMartinez@mail.com,Bartender,2021-05-10,,
113,Jose,Messi,123456,JoseMessi@mail.com,Socio,2021-05-10,,
114,Roberto,Ronaldo,12345666,RobertoRonaldo@mail.com,Cocinero,2021-05-16,./fotos/usuarios/Roberto.jpg,
115,Sancho,Panza,Sin clave,SanchoPanza@mail.com,Cliente,2021-05-18,./fotos/usuarios/Sancho.jpg,
116,Jeremias,Springfield,Sin clave,JeremiasSpringfield@mail.com,Cliente,2021-05-18,./fotos/usuarios/JeremiasSpringfield@mail.com.jpg,
126,juan,gomez,123,juangomez@mail.com,Mozo,2021-05-08,./fotos/juan.jpg,
127,pedro,sanchez,1234,pedrosanchez@mail.com,Cervezero,2021-05-07,./fotos/pedrosanchez@mail.com.jpg,
128,test123,apellido,testcarga,xxxz@mail.com,Cervezero,2021-05-07,./fotos/ssss@mail.com.jpg,
